Region,Country Name,Country Code,Indicator Name_x,Income Group,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Europe & Central Asia,Austria,AUT,Coal rents (% of GDP),High income,0.0,0.00245134913974266,0.0023752893478627603,0.00221020127794555,0.00453750014350741,0.0327027509529406,0.0314880518659379,0.0258512373164325,0.0148094157160539,0.00952480729747726,0.0189898202230115,0.0490770097981958,0.056555596247159,0.0223317270751293,0.0125049177951233,0.0187457673567814,0.00379579403743395,0.000797964128323654,0.00087331193054323,0.00107829971733783,0.00357913715066342,0.00273020065050993,0.0011980173547811,0.000113091907949744,0.00011506042342129099,0.0004908710084456269,0.00021189790108816001,8.97099271249504e-05,0.00018495511811775502,3.4534507483337103e-05,0.00046253600328209697,0.0017381250206159801,0.000579671356205795,0.00046136077970405996,0.000709136645908323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Europe & Central Asia,Azerbaijan,AZE,Coal rents (% of GDP),Upper middle income,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Latin America & Caribbean,"Bahamas, The",BHS,Coal rents (% of GDP),High income,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Middle East & North Africa,Bahrain,BHR,Coal rents (% of GDP),High income,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Asia,Bangladesh,BGD,Coal rents (% of GDP),Lower middle income,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007069229430999041,0.0123843439198965,0.019382214365804,0.06226694691409599,0.030876639768196,0.0341563123479273,0.0380683104759142,0.0318779377435336,0.0239510181975569,0.0200923373097412,0.0104679707688143,0.0156832880682374,0.0210849827553736,0.0187744473027951
Latin America & Caribbean,Barbados,BRB,Coal rents (% of GDP),High income,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Europe & Central Asia,Belarus,BLR,Coal rents (% of GDP),Upper middle income,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Europe & Central Asia,Belgium,BEL,Coal rents (% of GDP),High income,0.10391406992428501,0.10928789077043499,0.0810819033745752,0.0598173005823316,0.0949765354844583,0.19980251125035603,0.21570727005910398,0.180837475999267,0.128703979076119,0.101108937936163,0.10043167693713599,0.166289452253405,0.215942362130136,0.158599425591574,0.130386801951994,0.11801474993271001,0.055860151180104005,0.0205057037856168,0.0037253586394154,0.00026762416734595697,0.00232253906500163,0.00124115900309528,0.000207986720529752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Latin America & Caribbean,Belize,BLZ,Coal rents (% of GDP),Upper middle income,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sub-Saharan Africa,Benin,BEN,Coal rents (% of GDP),Lower middle income,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North America,Bermuda,BMU,Coal rents (% of GDP),High income,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
South Asia,Bhutan,BTN,Coal rents (% of GDP),Lower middle income,,,,,,,,,,,0.000600910189758889,0.00154132494402303,0.00175252729688677,0.0018748932985129302,0.00288763687677969,0.0040270006879189,0.00404223720802239,0.00481196645941344,0.00624745435676322,0.00788804073412552,0.00803199465839893,0.00936647396777471,0.23047901995554101,0.135667279116214,0.179410673952912,0.273060975523482,0.217750565648725,0.13373491932218198,0.0979146411820569,0.0679534963345347,0.0922018479756919,0.23893912300552103,0.15213911423112,0.117579024805336,0.116556885853872,0.229354419621667,0.25254677748418397,0.274907739005836,0.654411538773912,0.11636723284237198,0.245159012508629,0.28820905783643896,0.20378932095023602,0.0,0.0,0.0,0.0,0.0,0.0
Latin America & Caribbean,Bolivia,BOL,Coal rents (% of GDP),Lower middle income,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Europe & Central Asia,Bosnia and Herzegovina,BIH,Coal rents (% of GDP),Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,0.0155211434392378,0.0652562532788613,0.034849486412261,0.0307586416464335,0.0732831802606682,0.0118467686829427,0.139019390059555,0.52050472799358,0.150192149487215,0.155557233388684,1.05845120447281,0.655823940875582,0.622426175934807,0.7851720036264791,2.3247692175718195,0.675527688809489,1.2181746598528702,1.77937843933572,0.724899102971781,0.281856284422545,0.203309652485445,0.203752375945798,0.244335152254851,0.313076072908573,0.335688403421826
Sub-Saharan Africa,Botswana,BWA,Coal rents (% of GDP),Upper middle income,,,,,,,,,,,0.661542464761773,1.23339676053927,1.4740361706184097,0.751551273968173,0.564514296221535,0.7843136852464629,0.543338068800979,0.275968904756216,0.32639754992437603,0.36224823608002604,0.37471253706884294,0.346096512236584,0.337127256904352,0.23889624504172302,0.2503671712276,0.323739610116141,0.234104734179845,0.18411758312779397,0.16621613787143,0.10212712707445099,0.141961115135643,0.272367994734102,0.182210563083568,0.138811431369065,0.365123890333876,0.27877294747343107,0.28167317748632503,0.31070115463738895,0.738434092182793,0.20200439654508104,0.37662647136939204,0.33912782770043104,0.43546028134860604,0.33792324823574,0.263149736813329,0.27382959371389104,0.255551187661047,0.36268834542718104,0.44569486371788597
Latin America & Caribbean,Brazil,BRA,Coal rents (% of GDP),Upper middle income,,0.00734172840050673,0.00593475679671203,0.004827498796115029,0.0133405081294928,0.0264076475173702,0.0293303485672958,0.0301945551757703,0.0269737327104135,0.0245061390787802,0.0303478962978473,0.0443404944727877,0.0497141972824712,0.0438460944239529,0.035386150314472994,0.0364488819097072,0.0173169830769929,0.0044742287936098794,0.00669040835560861,0.00826592898202369,0.00533682675727462,0.0036294964476269397,0.00294519783032281,0.000166377570142362,0.000545875168805021,0.0018236578831569601,0.0011819764471894302,0.000875287475296941,2.06063360584662e-05,1.3970085837848599e-05,7.0233077389716e-06,0.00393488940377884,0.000659177042126461,0.0011848235443813,0.0130489929168898,0.00815138950469903,0.00671990400024749,0.0082477434837076,0.0220089483245757,0.00641319324052186,0.0080465524123959,0.009951513262952991,0.00835337511637854,0.0083237631978094,0.00616504042252026,0.00650169277636182,0.00630322157092974,0.00536496869176836,0.0072608946086055596
Latin America & Caribbean,British Virgin Islands,VGB,Coal rents (% of GDP),High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,Brunei Darussalam,BRN,Coal rents (% of GDP),High income,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Europe & Central Asia,Bulgaria,BGR,Coal rents (% of GDP),Upper middle income,,,,,,,,,,,0.478532680631089,0.9741653729845581,1.18178041948383,0.588382948549078,0.31321127565925205,0.42733538772594803,0.12303580084908802,0.0294452946592621,0.0523149084146055,0.0697530956652046,0.23023694813832998,0.37285987517692,0.26205292978697897,0.0236274024356534,0.0342686978395232,0.0974854530770701,0.0845863976757285,0.0317937365153743,0.0504138478793431,0.00878325150812728,0.100821280675769,0.38414566513856796,0.10093321222297501,0.0982337056359725,0.672867401398163,0.349364117857761,0.311492745056016,0.41949633323393004,1.08164658528818,0.28154034816659396,0.584813378999843,0.8839707587389409,0.32633488168549396,0.115542222228475,0.11020200081908,0.12020667334527699,0.11089908342367599,0.150724675151607,0.139558646860448
Sub-Saharan Africa,Burkina Faso,BFA,Coal rents (% of GDP),Low income,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sub-Saharan Africa,Burundi,BDI,Coal rents (% of GDP),Low income,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sub-Saharan Africa,Cabo Verde,CPV,Coal rents (% of GDP),Lower middle income,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East Asia & Pacific,Cambodia,KHM,Coal rents (% of GDP),Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038653885056646,0.0
Sub-Saharan Africa,Cameroon,CMR,Coal rents (% of GDP),Lower middle income,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North America,Canada,CAN,Coal rents (% of GDP),High income,0.0430412251766624,0.0563791210503363,0.058744711586571,0.0647680109221686,0.10767177677537501,0.276346203647427,0.257689222004735,0.278066346571668,0.287070530786732,0.261531564337967,0.276623147790619,0.375991502535885,0.41851000215530604,0.286403210770352,0.300169738541542,0.310075504956317,0.21830764507460396,0.124026790669914,0.139283323408858,0.17577926320456602,0.17929547345901,0.180332855519608,0.138138953664222,0.11383033293066,0.0953212413754472,0.16407828413818698,0.170238730372421,0.153474025173808,0.11591411333059899,0.0681574719873705,0.0677665735801289,0.11638659786063402,0.0879927958360719,0.0744456070489725,0.145648796180578,0.154360117849617,0.153833036487395,0.10731463920765599,0.37052490760764395,0.189513475663243,0.234590543964197,0.304284421304649,0.15654584770798902,0.0996668345351575,0.0749735905124298,0.0667873674329091,0.0797963244942309,0.0900493792370839,0.0848390003082287
Latin America & Caribbean,Cayman Islands,CYM,Coal rents (% of GDP),High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sub-Saharan Africa,Central African Republic,CAF,Coal rents (% of GDP),Low income,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sub-Saharan Africa,Chad,TCD,Coal rents (% of GDP),Low income,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Europe & Central Asia,Channel Islands,CHI,Coal rents (% of GDP),High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,Chile,CHL,Coal rents (% of GDP),High income,,1.75428797542783e-07,2.56488899074269e-06,6.5550248183283895e-06,0.0198636216446581,0.20782808995066798,0.13266709250067998,0.103408562904487,0.059131457411315994,0.0336333445234536,0.0583336885602853,0.0924237199218291,0.12088756260392598,0.0701818315435757,0.0548182311591583,0.0857807742236868,0.0365380361232158,2.93529254003471e-05,0.00320883082680828,0.023765234085407,0.0266359641931862,0.0213175764388206,0.00373086135187193,0.0,0.0,0.0015450149375244,0.000174593942786811,0.0,0.0,0.0,0.0,0.00163774206983192,0.0,9.48667560522731e-06,0.00461133506249474,0.0046860057607142295,0.0037787909462389103,0.00244951224937146,0.0170072535657442,0.0033156975571715,0.00654615765947531,0.00878042580975644,0.00595186499380169,0.016917495697461,0.0198900238867097,0.0139737210344767,0.0122981247066825,0.0143767046318819,0.0148824326741231
East Asia & Pacific,China,CHN,Coal rents (% of GDP),Upper middle income,,0.0663779930955746,0.0619775690137531,0.069044042711474,0.6979528975888001,2.6761154488385896,3.0129247001940502,3.06158056640431,3.30926851417315,2.6717617383707997,4.523820624953401,7.921588830153509,8.69340634065888,4.359027960036549,2.95690509481145,3.0191912288188796,1.55314205992369,0.18068636398082502,0.869437244231521,1.42090189491977,1.63297688025485,1.2681519921559,0.61476225010312,0.13317540212716802,0.0594051029928361,0.35777561039043204,0.11172499154517401,0.0781720069696554,0.134749805595274,0.0627501543458478,0.140814769318229,0.8618163061733821,0.260286795580385,0.31138045760453803,2.5967776903307302,1.88221298067663,1.7913156205053202,1.98748522852351,4.83200010729304,1.52250239497855,2.42825132687795,3.36613946446198,1.60807490501359,0.9406955901727231,0.7143199341687501,0.40288524212694,0.409845474045727,0.532096893540023,0.5668605918807521
Latin America & Caribbean,Colombia,COL,Coal rents (% of GDP),Upper middle income,,0.0410172348042826,0.0368235493191544,0.0343181631698624,0.12050847216462598,0.39516208440729206,0.399709466600575,0.33427186005688697,0.277049842688086,0.21385174397473897,0.217483695667213,0.33038285993082694,0.36409393496426,0.24195117131184002,0.21655867426863298,0.32646394912606,0.18566212886485997,0.05442876052923799,0.0593540385165524,0.20980510995924898,0.22647703273579398,0.192736116910688,0.0839997614718253,0.0323968853728328,0.0144784485241017,0.0438105438499151,0.0225854887950678,0.0166660927048835,0.0171516627771018,0.00550199243682427,0.00565505165862214,0.0997490240880032,0.0179298457101275,0.0128413642895628,1.0688915738199498,0.5856241873883791,0.606921552453741,0.8968659980199281,2.31758243683889,0.540455186349669,1.00821410930849,1.5778201054049799,0.866562427820147,0.567188996431177,0.46596619461234706,0.49994230372651793,0.620399925267083,0.753385204686394,0.7517355661873859
Sub-Saharan Africa,Comoros,COM,Coal rents (% of GDP),Lower middle income,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sub-Saharan Africa,"Congo, Dem. Rep.",COD,Coal rents (% of GDP),Low income,,0.0072504855284504,0.008437720334981141,0.00831348414492619,0.0105815755734969,0.0266117258717485,0.0194619482196205,0.0186718761026002,0.0118802086022396,0.0117206364904299,0.0239639167270955,0.0415009596392168,0.034724167620824996,0.0244811399760251,0.0293425092162807,0.0359723925072985,0.0242687679706696,0.0189591749662595,0.0210335663323248,0.0249585227847972,0.0257737614091027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sub-Saharan Africa,"Congo, Rep.",COG,Coal rents (% of GDP),Lower middle income,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Latin America & Caribbean,Costa Rica,CRI,Coal rents (% of GDP),Upper middle income,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sub-Saharan Africa,Cote d'Ivoire,CIV,Coal rents (% of GDP),Lower middle income,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Europe & Central Asia,Croatia,HRV,Coal rents (% of GDP),High income,,,,,,,,,,,,,,,,,,,,,,,,,,0.000783222832658045,0.00039883901745349303,0.00012919894794696598,0.000148732034257408,1.98676835819905e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Latin America & Caribbean,Cuba,CUB,Coal rents (% of GDP),Upper middle income,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Latin America & Caribbean,Curacao,CUW,Coal rents (% of GDP),High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Europe & Central Asia,Cyprus,CYP,Coal rents (% of GDP),High income,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Europe & Central Asia,Czech Republic,CZE,Coal rents (% of GDP),High income,,,,,,,,,,,,,,,,,,,,,1.38740588807385,1.66545857542117,1.06134261909695,0.489212625461317,0.273767418778848,0.33781738245348997,0.277389328771645,0.248689013657693,0.225214157946034,0.10391154547088399,0.20565297671076502,0.5032704024276761,0.22942389909635502,0.183914708139627,0.700242213049375,0.564795320741308,0.53290918599363,0.443448069529147,1.30946322437142,0.489319160996485,0.6950463157054261,0.850370869959628,0.39809907876854705,0.14410515671417498,0.125507495371491,0.126369484619684,0.127990037233602,0.146251355635508,0.137876930152395
